"year","total_count"
"2015",246372
"2014",811002
"2013",847333
"2012",809155
"2011",766523
"2010",733763
"2009",707106
"2008",685807
"2007",657200
"2006",634318
"2005",609210
"2004",578814
"2003",549046
"2002",521391
"2001",505788
"2000",485457
"1999",459742
"1998",446885
"1997",432082
"1996",421876
"1995",416501
"1994",407341
"1993",398126
"1992",391836
"1991",388803
"1990",388195
"1989",381408
"1988",365617
"1987",348009
"1986",330463
"1985",318101
"1984",307942
"1983",299031
"1982",285224
"1981",274485
"1980",272513
"1979",274295
"1978",265557
"1977",255748
"1976",249191
"1975",244112
"1974",229846
"1973",225880
"1972",222189
"1971",217580
"1970",212366
"1969",210583
"1968",203763
"1967",186903
"1966",175129
"1965",173156
"1964",158918
"1963",137757
"1962",122648
"1961",117007
"1960",108867
"1959",107792
"1958",107656
"1957",109811
"1956",105228
"1955",106760
"1954",104007
"1953",107679
"1952",106849
"1951",102580
"1950",84099
"1949",60931
"1948",68711
"1947",62893
