from to width_full width
CMP_BLAD CMP_STROKE 1 1
CMP_BLAD CMP_WNDDEH 1 1
CMP_BOWEL CMP_MI 1 1
CMP_CARDARR CMP_MI 6 6
CMP_CARDARR CMP_PULEM 1 1
CMP_CARDARR CMP_SD 1 1
CMP_CARDARR CMP_STROKE 1 1
CMP_CIP CMP_BLAD 1 1
CMP_CIP CMP_BOWEL 1 1
CMP_CIP CMP_DIABETES_MELLITUS 1 1
CMP_CIP CMP_MI 2 2
CMP_CIP CMP_NHYPDX 8 8
CMP_CIP CMP_POP_ILEUS 1 1
CMP_CIP CMP_RENAL_PROTEIN 2 2
CMP_CIP CMP_SD 2 2
CMP_CMD CMP_CARDARR 1 1
CMP_CMD CMP_LIST 2 2
CMP_CMD CMP_REC_TRANS 3 3
CMP_CMD CMP_RENAL_PROTEIN 1 1
CMP_CMD CMP_STROKE 2 2
CMP_DIABETES_MELLITUS CMP_CMD 3 3
CMP_DIABETES_MELLITUS CMP_DYSR 3 3
CMP_DIABETES_MELLITUS CMP_MI 8 8
CMP_DIABETES_MELLITUS CMP_NHYPDX 56 50
CMP_DIABETES_MELLITUS CMP_PULEM 1 1
CMP_DIABETES_MELLITUS CMP_RENAL_PROTEIN 13 13
CMP_DIABETES_MELLITUS CMP_SD 1 1
CMP_DIABETES_MELLITUS CMP_STROKE 7 7
CMP_DYSR CMP_CARDARR 1 1
CMP_DYSR CMP_DIABETES_MELLITUS 4 4
CMP_DYSR CMP_LIST 1 1
CMP_DYSR CMP_MI 1 1
CMP_DYSR CMP_NHYPDX 11 11
CMP_DYSR CMP_PANCREAT 1 1
CMP_DYSR CMP_REC_TRANS 1 1
CMP_DYSR CMP_RENAL_PROTEIN 5 5
CMP_DYSR CMP_SD 2 2
CMP_DYSR CMP_STROKE 1 1
CMP_EPIDIDYMITIS CMP_TESTPN 3 3
CMP_INCHER CMP_DIABETES_MELLITUS 1 1
CMP_INCHER CMP_REOP_INCHER 6 6
CMP_LIST CMP_CMD 2 2
CMP_LIST CMP_DYSR 1 1
CMP_LIST CMP_REC_TRANS 3 3
CMP_MI CMP_DIABETES_MELLITUS 4 4
CMP_MI CMP_DYSR 4 4
CMP_MI CMP_NHYPDX 25 25
CMP_MI CMP_PULEM 2 2
CMP_MI CMP_RENAL_NEPH 1 1
